OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6185357,North East,1120004,Grand Prom,63056,Grand Prom,Beaufort St,Railway Pde,I,,2,0.00956986080252546
6185358,North East,1120005,Beechboro Rd North,63067,Beechboro Rd North,Wandoo Rd & Beechboro Rd North,Benara Rd,I,,1,0.0037592529118009
6185359,North East,1120005,Beechboro Rd North,63068,Beechboro Rd North,Benara Rd,Morley Dr,I,,2,0.0136546581433144
6185360,North East,1120005,Beechboro Rd North,63069,Beechboro Rd North,Morley Dr,Broun Av & Walter Rd East,I,,3,0.00580147554355982
6185361,North East,1120005,Beechboro Rd North,63070,Beechboro Rd North,Broun Av & Walter Rd East,Beechboro Rd North - Start Road,I,,4,0.00362905899882649
6185362,North East,1120006,Broun Av,63080,Broun Av,Walter Rd East & Beechboro Rd North,Embleton Av,I,,1,0.00757829081933276
6185363,North East,1120006,Broun Av,63081,Broun Av,Embleton Av,Collier Rd,I,,2,0.0138973199572562
6185364,North East,1120006,Broun Av,63082,Broun Av,Collier Rd,Russell St,I,,3,0.00303416304201087
6185365,North East,1120006,Broun Av,63083,Broun Av,Russell St,Coode St,I,,4,0.0061478819425639
6185366,North East,1120006,Broun Av,63084,Broun Av,Coode St,Beaufort St,I,,5,0.0026978389658461
6185367,North East,1120007,Collier Rd,63094,Collier Rd,Walter Rd West,Broun Av,I,,1,0.00768440780477096
6185368,North East,5011,Graham Farmer Ramps,5670,Graham Farmer Fwy (Westbound) off to James St Ramp,Graham Farmer Fwy (Westbound) to Mitchell Fwy (Southbound) Ramp And Graham Farmer Fwy (Westbound) off to James St Ramp,James St And Graham Farmer Fwy (Westbound) off to James St Ramp,I,S,1,0.00174235973904963
6185369,North West,5003,Mitchell Ramps,5671,Graham Farmer Fwy (Westbound) to Mitchell Fwy (Southbound) Ramp,Graham Farmer Fwy And Graham Farmer Fwy (Westbound) to Mitchell Fwy (Southbound) Ramp,Charles St on to Mitchell Fwy (Southbound) Ramp And Graham Farmer Fwy (Westbound) to Mitchell Fwy (Southbound) Ramp,I,S,1,0.00266672776926643
6185370,North West,5003,Mitchell Ramps,5525,Charles St on to Mitchell Fwy (Southbound) Ramp,Charles St And Charles St on to Mitchell Fwy (Southbound) Ramp,Mitchell Fwy And Charles St on to Mitchell Fwy (Southbound) Ramp,I,S,1,0.0046070806406688
6185371,South West,5018,Kwinana Ramps,5816,Karnup Rd on to Kwinana Fwy (Northbound) Ramp,Karnup Rd And Karnup Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Karnup Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.0046438834858641
6185372,South West,5018,Kwinana Ramps,5500,Mill Point Rd on to Kwinana Fwy (Northbound) Ramp,Labouchere Rd And Mill Point Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Mill Point Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00489475244809829
6185373,South West,5018,Kwinana Ramps,5549,Canning Hwy on to Kwinana Fwy (Northbound) Ramp,Canning Hwy And Canning Hwy on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Canning Hwy on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00273959744785153
