osmid,risk_lvl
"[207098243, 1866200323, 6689499268]",0
"[1866201176, 1866201206, 1866201264, 1866201309]",1
1866199989,1
1866200774,1
"[6689499262, 6689499263]",1
"[1866205620, 1866205566, 1866205681, 1866205711, 1866205848, 1866205794, 1866205912, 1866205877, 1866206084]",1
"[207098260, 6228904130]",1
6228904118,1
6689499259,1
1866201916,1
"[207099560, 598995691]",1
"[598995343, 598995690]",1
9677605162,0
"[6243715997, 6243715996]",1
598995340,1
271378509,1
806250742,0
271378623,1
207103044,1
5995233521,1
207103045,1
"[556253634, 556254060]",1
556256108,2
"[556255708, 556253895, 556254265]",1
556233835,1
556256252,1
207103046,1
556253869,2
207103047,2
566451070,1
207103050,1
566451065,1
11608608394,1
5427493547,1
207103051,1
659047543,1
207103053,1
"[659048014, 659047989, 659047990]",1
207103055,1
556257633,2
"[556258103, 556258139]",1
659044741,2
214900603,2
271378901,1
"[566444908, 566446328]",1
"[6207893936, 1866207588, 1866207590, 6207893933, 6207893918, 6207893932, 6207893926, 6207893931]",2
"[1866207788, 566443403, 566444932, 1866207775]",1
271379033,1
"[566445042, 566443624, 566445030, 1866207791, 1866207794]",1
566443620,1
8386016065,1
271845018,1
271845034,0
242935156,1
268041668,1
268229366,1
268229811,1
2479737642,1
268032037,1
807543657,1
268230007,1
268229900,1
252199377,1
1860896235,1
"[6230143585, 252337667]",1
6229725029,1
252337691,1
277962708,1
"[252200884, 6235585947]",1
1554273076,1
765573775,1
6235585954,2
3780922810,1
730793379,1
"[6230203163, 1860896340]",0
9261065806,1
252337703,2
"[9261065791, 9261066521, 9261065804, 9261065807, 9261065798, 9261065799, 9261065814, 9261065808, 9261065802, 9261066519]",1
"[4827099947, 6230142351]",2
"[5998632258, 6230142354, 6230142346, 6230142345]",1
11147698416,2
273421860,1
273421853,1
"[261609056, 6688208302]",1
"[6229010972, 1867789438]",1
1867789690,0
"[1867789819, 5227185935]",0
1867789466,0
"[1867788716, 5680075435, 1867788744, 1867788773, 1867788771, 6229010971, 1867788818, 1867788816, 6229010970]",2
261609222,2
1867790255,1
"[1867790516, 1867790425]",1
1867790331,1
1867790005,1
1867789585,1
261609225,1
261686693,1
"[1867790743, 323182335, 6209761757, 6209761762]",1
1867790896,0
774433366,0
5551049911,2
644892181,1
"[6229010984, 1867791180, 6229011288, 1867791182, 1867791203, 1867791218, 6229010983, 6229011290, 6229011289, 6229011285, 6229011286, 6229011287, 9794227729]",1
1867791093,1
261609635,1
825350154,1
644847858,3
644847840,1
825350175,0
"[6228993710, 275277100, 6228993712, 6228993711, 6228993709, 6228993729, 6228993722, 6228993726, 6228993719, 6228993728]",0
644847864,0
1867787601,0
644847839,0
"[6228993735, 6228993732, 1867787653, 6228993734, 1867787669, 1867787685, 6228993731, 6228993736, 6228993733]",1
261611299,0
275274457,0
275275115,0
275269426,2
275274731,0
275274920,0
275275186,2
275275109,1
275271003,1
275269737,1
261611374,0
275274257,0
1867786549,0
275269777,0
"[273421230, 6243692505, 6243692503, 275274164, 6243692504, 5245413865, 5245413873, 5245413868, 5245413876, 6243692496, 6243692495]",0
275274262,0
275274305,0
275269775,0
275269781,0
1867785762,2
271846266,1
"[271846414, 271847286]",0
271846272,2
271846267,0
261686667,1
644847706,1
825356899,2
1867788164,0
"[1867788007, 1867787968, 1867787944]",0
262066879,0
1867788293,0
"[1867788204, 1867788235, 1867788260, 1867788239]",1
1867789442,3
1867788214,1
1867788402,1
"[1867788202, 1867788226]",1
261718658,1
1867787857,1
2100155791,1
1867787875,1
1867787829,1
1867788283,1
1867788174,1
261721341,1
1867788141,0
1867787765,1
1867787883,0
1867787648,2
1867787846,0
267674878,1
"[6189968843, 6189968841, 626559398, 626559399, 626559404, 1878600853, 626559409, 1878600850]",3
6189968855,1
268032290,1
"[267675043, 626559386, 6285485520, 6285485521, 6285485524]",1
6189968867,1
267675012,2
5483932971,2
267679543,1
"[6189329461, 457460398, 6189329459, 6189329460, 457460394, 1884297016, 457460396, 1884297020, 457460397, 1884297018, 6189329458]",0
267677481,0
267675025,0
267683161,0
267683344,0
"[6189968877, 6189968880, 457460388, 457460391, 457460389, 6189968878, 1878600849, 1878600857, 457460392, 6189968879, 626559381]",0
267678157,1
"[267685144, 626559388]",2
1865923491,1
1878600870,1
267678138,1
267681733,1
267681735,3
1878600868,0
1878600875,1
"[1878600840, 1878600824, 1878600834]",2
1878600872,1
"[6189930683, 6189930681, 457460382, 6189930680, 6189930679, 457460383, 457460385, 457460384, 1884297175, 1884297170, 6189930682, 1884297178]",1
1878600874,1
"[267682270, 6189930684, 6189933885]",0
267682271,1
"[1865923497, 6189933890]",1
267685575,1
267683090,1
"[267682776, 1553335506]",1
267682762,1
267682786,3
1864566421,1
1553335509,0
5833424892,0
267683139,0
267683133,0
5834814426,0
267684200,0
267684277,2
"[1865923391, 1865923462, 1865923378, 1865923360]",1
267684246,1
267684696,1
1553344702,2
267684292,1
267684268,1
"[1865923477, 1865923488, 1865923459]",1
267684320,1
267684252,1
267685975,0
"[1865923434, 1865923408, 1865923438, 1865923465]",1
267685621,3
267685988,1
267685794,1
1865923414,1
303075300,1
1865923508,1
5479953104,2
1878600873,1
1865923548,1
7792759107,1
267685788,1
1865923505,0
1865923371,1
268032186,1
6198722641,1
5756989593,1
268229922,1
268033675,1
268230595,0
268230642,1
268229915,1
268032193,2
1159019072,1
268032190,0
268230374,1
1159023514,2
268032199,1
268230194,1
"[6229436901, 6229436902, 6229436899, 6229436903, 6229436900]",1
268230182,1
268230320,1
268594295,1
6229436909,1
6046070621,1
9261089753,1
"[6189943988, 6189942982]",1
268032314,1
"[6189942980, 6189942981]",0
"[267674869, 9608075215]",1
268033319,1
268034170,1
268033929,1
2457711992,1
268034147,1
268034068,0
268033827,1
3222277789,1
5998443737,3
2457711990,1
6749994084,1
268230623,0
3222274876,0
5487547322,0
"[6229406589, 6229406588, 6229406598, 6229406590]",1
268034064,1
268033946,1
268041967,1
268042306,1
7437074568,0
604626927,2
268042324,1
604223023,1
"[1865096399, 6189891511, 1865096370, 1865096451, 1865096383, 1865096397, 1865096431, 6189891512, 1865096429, 1865096460, 6189891513]",1
"[2299192596, 6611670833, 6611670831]",2
"[2299192595, 2299192602]",0
"[6611670860, 6611670823, 6611670830, 6611670866]",2
"[6189881265, 5487436673, 604625087, 5492368410, 1865096365, 1865096376, 1865096375, 1865096416, 5487547331, 1865096379, 1865096437, 1865096392, 1865096411]",0
"[5482420869, 1054227337, 1054227340, 1054227344, 5482420871, 1054227348, 1054227350, 1054227356, 1054227358, 5482420868, 1054227369, 2299192609, 6207177128, 6207177135]",1
268229911,1
268229899,1
"[4636771848, 4636771845, 5487546407, 5487546406]",1
"[4930631494, 4930631492, 4930631493, 6229553884, 4930631496, 4930631497]",1
268229972,1
"[4636779008, 4636779007]",1
"[4636791453, 4636791454]",1
4930631485,1
268229938,1
268229969,1
6046437562,1
"[5756172535, 268230250, 5756172416, 5756172536, 5756172391, 5756172409, 5756172533, 5756172413, 5756172420, 5756172522, 5756172527, 5756172529]",0
268230200,0
268230299,1
"[6465965439, 6465965446]",1
5344990177,1
9261089751,1
9261089763,3
268230192,1
6046070643,1
6046070652,1
6046070629,1
"[6046070636, 6046070637]",1
1159019033,0
268230310,1
"[6229554788, 4930645241, 6229554789]",1
4930645239,0
5344990179,0
268230334,1
268230343,1
3222281802,1
268594281,0
6200657290,1
"[6605678733, 6605678734]",1
1844950364,1
268594566,2
"[6605678739, 6605678735, 9926010193, 6605678746, 6605678748, 9926010196, 9926010201]",0
5833340037,1
268594422,0
"[6229436895, 6229436897]",0
6229436896,1
"[5833340011, 6521268188, 5833340018]",0
268594625,0
268595775,0
"[10660818182, 10660823809]",0
268595211,1
268595442,1
268595235,2
268595548,1
268595137,1
268594996,0
5833334868,1
6229400635,1
"[6229400627, 6229400628]",1
5833334869,1
268595600,0
2813315195,1
268595599,1
2813317104,2
268595649,0
268595655,0
1055557700,1
268595641,1
3093994745,0
268595761,0
268595645,0
"[2813317103, 2813317105]",3
3093994761,1
"[6207682414, 6207682412, 6207682413]",1
634132565,1
268595707,1
634132570,1
"[634132548, 5759577692, 5759577748, 5759577749, 5759577687, 5759577682, 5759577746, 5759577689, 5759577701, 5759577695, 5759577698, 5759577704]",2
268595669,1
6207682409,1
"[6207682407, 6207682411]",1
634132592,1
634132589,1
3521914888,1
271325220,0
271325543,1
271325504,2
10255288105,1
10255288102,1
271325193,1
271325673,1
"[10255288095, 10255288096, 1867784806, 10255288089, 10255288081, 10255288088, 10255288083, 10255288086, 10255288094, 11747625268, 10255288092]",1
271324652,1
"[10255288072, 10255288071, 10255288070, 1867784793, 10255288056, 10255288054, 10255288068, 10255288058, 10255288060, 10255288062, 10255288064, 10255288066]",0
271325675,1
"[271325200, 271325217]",0
"[1867784866, 1867784832, 1867784888, 6286456313, 1867784883, 1867784910, 6286456311]",0
"[1837282827, 6241337375, 846531316, 1860896002, 846531320, 1860895990, 1860895992, 1860896001]",0
"[823943697, 271325674]",1
271325615,0
271324656,0
6578689537,0
1837282818,1
271325195,1
271325659,1
6241343297,1
271325221,1
271325658,0
271325368,0
271325218,2
6578689633,0
271325454,0
271325487,0
646206466,3
2024389084,0
825343481,0
271325629,0
271325706,0
825343480,0
271325717,3
"[1870715333, 1870715349, 1870715357, 1870715358]",0
271325650,0
271325635,0
271325660,0
271325651,0
271326062,0
271325750,0
271325982,2
10255288093,2
6241343296,2
271325703,0
271326043,0
"[271325705, 847505756]",0
271325801,0
271325752,1
271325800,1
646206626,1
271325755,1
271325882,1
646206592,1
646206590,0
646216057,0
271325877,1
271325972,1
271326011,1
3521923805,1
271326042,1
271326029,1
271325975,3
271326023,0
271326024,1
271326026,0
271325978,0
271326118,1
271326025,1
271326112,1
271326242,1
271326101,1
271326102,1
271326106,1
"[3521923814, 271326247, 271326248]",1
271326284,0
271326113,2
"[271326283, 271326281, 271326282]",0
"[271840731, 271840730, 6241484408]",0
"[271613850, 271613871, 3521914890, 6241265675]",0
6241265665,0
"[3521914889, 271613928, 6241265681]",0
3521923804,2
"[271836901, 6200267045, 6200267054, 6200267052, 6200267053, 6200267062, 6200267071, 6200267070]",0
271840732,2
"[271326473, 567090649, 271326643, 567090625, 567090651]",0
"[271613496, 271613498]",2
"[6241399375, 6241399376]",2
6241399353,0
6241399363,1
271613499,1
6241399374,2
"[271326660, 1860896096]",1
588348437,1
6229694422,1
"[276647405, 1860896077]",1
588348436,1
588348435,1
"[765638689, 6229694410, 1860896005, 6229694409, 3521914803, 6229694405, 6229694415, 3521914802, 6229694416]",1
"[271326733, 6241409353]",1
"[6200229388, 271844534, 6200229412, 6200229410, 6200229408]",1
6241409355,1
8272713691,1
6200229397,1
"[271840781, 1868858836, 6200229402, 6200229398]",0
"[271841997, 6241409349]",1
271326902,0
"[5208450354, 271841984, 6241409379, 1860896141, 6241409375, 1860896153, 6241409374]",3
"[6236280469, 271842046]",3
276644289,1
6241409378,1
"[1860896139, 1860896149]",1
"[6241419387, 6241419389]",1
6236280481,1
6236280472,1
276644288,1
6192429621,1
271326913,1
271844610,1
"[1868858899, 1868858904]",1
271844607,1
"[1871106491, 1871106490]",1
